0	0.000000E+00	1.431723E-07	0.000000E+00
1	-2.196403E-08	1.308718E-07	4.320048E-08
2	-3.985274E-08	9.623191E-08	7.450643E-08
3	-4.772396E-08	4.752930E-08	8.263689E-08
4	-3.583918E-08	2.732363E-09	6.387562E-08
5	1.534685E-23	-2.386205E-08	4.133029E-08
6	3.583918E-08	-5.668409E-08	2.957151E-08
7	4.772396E-08	-9.533029E-08	1.568671E-10
8	3.985274E-08	-1.126404E-07	-4.608606E-08
9	2.196403E-08	-1.028486E-07	-9.173808E-08
10	-3.069370E-23	-7.158616E-08	-1.239909E-07
11	-2.196403E-08	-2.802320E-08	-1.349386E-07
12	-3.985274E-08	1.640851E-08	-1.205925E-07
13	-4.772396E-08	4.780100E-08	-8.248002E-08
14	-3.583918E-08	5.395173E-08	-3.430410E-08
15	-1.023158E-22	4.772411E-08	-5.408135E-23
16	3.583918E-08	5.395173E-08	3.430410E-08
17	4.772396E-08	4.780100E-08	8.248002E-08
18	3.985274E-08	1.640851E-08	1.205925E-07
19	2.196403E-08	-2.802320E-08	1.349386E-07
20	-6.138740E-23	-7.158616E-08	1.239909E-07
21	-2.196403E-08	-1.028486E-07	9.173808E-08
22	-3.985274E-08	-1.126404E-07	4.608606E-08
23	-4.772396E-08	-9.533029E-08	-1.568671E-10
24	-3.583918E-08	-5.668409E-08	-2.957151E-08
25	-2.923456E-23	-2.386205E-08	-4.133029E-08
26	3.583918E-08	2.732363E-09	-6.387562E-08
27	4.772396E-08	4.752930E-08	-8.263689E-08
28	3.985274E-08	9.623191E-08	-7.450643E-08
29	2.196403E-08	1.308718E-07	-4.320048E-08

